"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"102","Detroit Tigers","mlb","#0c2c56","#FF6600",NA,NA,"AL Central","Detroit","Tigers","Detroit Tigers","http://content.sportslogos.net/logos/53/59/thumbs/5989642016.gif"
"103","Drake Bulldogs","ncaa","#004477","#999999",NA,NA,"MVC","Drake","Bulldogs","Drake Bulldogs","http://content.sportslogos.net/logos/31/661/thumbs/66135332015.gif"
"104","Duke Blue Devils","ncaa","#001A57","#FFFFFF","#003366","#0736A4","ACC","Duke","Blue Devils","Duke Blue Devils","http://content.sportslogos.net/logos/31/663/thumbs/66395011978.gif"
"105","Duquesne Dukes","ncaa","#041E42","#BA0C2F","#000000",NA,"A-10","Duquesne","Dukes","Duquesne Dukes","http://content.sportslogos.net/logos/31/664/thumbs/66440092019.gif"
"106","East Carolina Pirates","ncaa","#592A8A","#FDC82F",NA,NA,"AAC","East Carolina","Pirates","East Carolina Pirates","http://content.sportslogos.net/logos/31/665/thumbs/66580462014.gif"
"107","Eastern Michigan Eagles","ncaa","#006633","#000000",NA,NA,"MAC","Eastern Michigan","Eagles","Eastern Michigan Eagles","http://content.sportslogos.net/logos/31/669/thumbs/66988442013.gif"
"108","Eastern Washington Eagles","ncaa","#A10022","#FFFFFF","#6D6E71",NA,"Big Sky","Eastern Washington","Eagles","Eastern Washington Eagles","http://content.sportslogos.net/logos/31/670/thumbs/6878.gif"
"109","Edmonton Oilers","nhl","#00205b","#cf4520",NA,NA,"Pacific","Edmonton","Oilers","Edmonton Oilers","http://content.sportslogos.net/logos/1/12/thumbs/1227282018.gif"
"110","Evansville Purple Aces","ncaa","#52237F","#F36F21",NA,NA,"MVC","Evansville","Purple Aces","Evansville Purple Aces","http://content.sportslogos.net/logos/31/672/thumbs/67264652019.gif"
"111","Everton","epl","#274488",NA,NA,NA,NA,"Everton",NA,"Everton",NA
"112","Fairfield Stags","ncaa","#C8102E","#A2AAAD","#000000",NA,"MAAC","Fairfield","Stags","Fairfield Stags","http://content.sportslogos.net/logos/31/673/thumbs/fem0t6nf9oeoohyyqbp7erhvg.gif"
"113","FC Dallas","mls","#cf0032","#07175c","#8a8d8f",NA,NA,"FC","Dallas","FC Dallas","http://content.sportslogos.net/logos/9/329/thumbs/97yz6vcggd25lhyswy2fgvhfz.gif"
"114","FGCU","ncaa","#002D72","#007749","#B9975B",NA,"A-Sun","FGCU",NA,"Florida Gulf Coast Eagles","http://content.sportslogos.net/logos/31/4946/thumbs/494681002002.gif"
"115","FIU","ncaa","#081E3F","#B6862C",NA,NA,"C-USA","FIU",NA,"FIU Panthers","http://content.sportslogos.net/logos/31/678/thumbs/67854492010.gif"
"116","Florida Atlantic Owls","ncaa","#003366","#CC0000","#8A8D8F","#CCCCCC","C-USA","Florida Atlantic","Owls","Florida Atlantic Owls","http://content.sportslogos.net/logos/31/677/thumbs/vviv38wr7tk9nq4k2liou3r1e.gif"
"117","Florida Gators","ncaa","#0021A5","#FA4616",NA,NA,"SEC","Florida","Gators","Florida Gators","http://content.sportslogos.net/logos/31/675/thumbs/67570762013.gif"
"118","Florida Panthers","nhl","#041e42","#b9975b","#c8102e",NA,"Atlantic","Florida","Panthers","Florida Panthers","http://content.sportslogos.net/logos/1/13/thumbs/1380782017.gif"
"119","Florida State Seminoles","ncaa","#782F40","#CEB888","#FFFFFF","#000000","ACC","Florida State","Seminoles","Florida State Seminoles","http://content.sportslogos.net/logos/31/679/thumbs/67959842014.gif"
"120","Fordham Rams","ncaa","#860038","#FFFFFF",NA,NA,"A-10","Fordham","Rams","Fordham Rams","http://content.sportslogos.net/logos/31/680/thumbs/68090482009.gif"
"121","Fresno State","ncaa","#DB0032","#002E6D","#007934",NA,"MWC","Fresno State",NA,"Fresno State Bulldogs","http://content.sportslogos.net/logos/31/681/thumbs/68177952006.gif"
"122","George Mason Patriots","ncaa","#006633","#FFCC33","#000000",NA,"A-10","George Mason","Patriots","George Mason Patriots","http://content.sportslogos.net/logos/31/684/thumbs/82zgn45ik9y1ttzrdfugvgfsj.gif"
"123","George Washington Colonials","ncaa","#E2CB92","#002654",NA,NA,"A-10","George Washington","Colonials","George Washington Colonials","http://content.sportslogos.net/logos/31/685/thumbs/68559682008.gif"
"124","Georgetown Hoyas","ncaa","#041E42","#8D817B",NA,NA,"Big East","Georgetown","Hoyas","Georgetown Hoyas","http://content.sportslogos.net/logos/31/686/thumbs/41oxa3jgd3ht8c7a6zf2hbf99.gif"
"125","Georgia Bulldogs","ncaa","#BA0C2F","#000000","#FFFFFF",NA,"SEC","Georgia","Bulldogs","Georgia Bulldogs","http://content.sportslogos.net/logos/31/687/thumbs/hr85j3g1duiqf59eiep9bvnsd.gif"
"126","Georgia Southern Eagles","ncaa","#011E41","#A3AAAE","#87714D",NA,"Sunbelt","Georgia Southern","Eagles","Georgia Southern Eagles","http://content.sportslogos.net/logos/31/688/thumbs/68879472010.gif"
"127","Georgia State Panthers","ncaa","#0039A6","#C60C30","#000000",NA,"Sunbelt","Georgia State","Panthers","Georgia State Panthers","http://content.sportslogos.net/logos/31/689/thumbs/68949972014.gif"
"128","Georgia Tech","ncaa","#B3A369","#003057","#A28D5B",NA,"ACC","Georgia Tech",NA,"Georgia Tech Yellow Jackets","http://content.sportslogos.net/logos/31/690/thumbs/2491.gif"
"129","Golden State Warriors","nba","#fdb927","#006bb6","#26282a",NA,"Pacific","Golden State","Warriors","Golden State Warriors","http://content.sportslogos.net/logos/6/235/thumbs/23531522020.gif"
"130","Gonzaga Bulldogs","ncaa","#041E42","#C8102E","#C1C6C8",NA,"WCC","Gonzaga","Bulldogs","Gonzaga Bulldogs","http://content.sportslogos.net/logos/31/691/thumbs/6886.gif"
"131","Grand Canyon Antelopes","ncaa","#522398","#000000",NA,NA,"WAC","Grand Canyon","Antelopes","Grand Canyon Antelopes","http://content.sportslogos.net/logos/31/5050/thumbs/505089242015.gif"
"132","Green Bay","ncaa","#006747","#9D2235","#8A8D8F",NA,"Horizon","Green Bay",NA,"Wisconsin-Green Bay Phoenix","http://content.sportslogos.net/logos/35/891/thumbs/t73vzch64n5fanniemu04ei3v.gif"
"133","Green Bay Packers","nfl","#203731","#ffb612","#1c2d25","#eead1e","NFC North","Green Bay","Packers","Green Bay Packers","http://content.sportslogos.net/logos/7/171/thumbs/dcy03myfhffbki5d7il3.gif"
"134","Hartford Hawks","ncaa","#C02427","#0F0708",NA,NA,"Am. East","Hartford","Hawks","Hartford Hawks","http://content.sportslogos.net/logos/31/694/thumbs/69439442015.gif"
"135","Harvard Crimson","ncaa","#A41034","#000000","#808285","#B6B6B6","Ivy","Harvard","Crimson","Harvard Crimson","http://content.sportslogos.net/logos/31/695/thumbs/afpnmfyxeigiunegxzxrdukt7.gif"
"136","Hawaii","ncaa","#024731","#C8C8C8","#000000",NA,"Big West","Hawaii",NA,"Hawaii Warriors","http://content.sportslogos.net/logos/31/696/thumbs/2494.gif"
"137","Houston Astros","mlb","#002d62","#eb6e1f",NA,NA,"AL West","Houston","Astros","Houston Astros","http://content.sportslogos.net/logos/53/4929/thumbs/492995032000.gif"
"138","Houston Cougars","ncaa","#C8102E","#76232F","#B2B4B2",NA,"AAC","Houston","Cougars","Houston Cougars","http://content.sportslogos.net/logos/31/700/thumbs/70063032012.gif"
"139","Houston Dash","nwsl","#F4911E","#92C3F1","#231F20",NA,NA,"Houston","Dash","Houston Dash","http://content.sportslogos.net/logos/202/5864/thumbs/586442832013.gif"
"140","Houston Dynamo","mls","#f36600","#2e2926","#85b7ea",NA,NA,"Houston","Dynamo","Houston Dynamo","http://content.sportslogos.net/logos/9/1482/thumbs/h8ga63uac257c37js2m47hqke.gif"
"141","Houston Rockets","nba","#ce1141","#c4ced3","#061922","#fdb927","Southwest","Houston","Rockets","Houston Rockets","http://content.sportslogos.net/logos/6/230/thumbs/23068302020.gif"
"142","Houston Texans","nfl","#03202f","#a71930","#00071c","#a30d2d","AFC South","Houston","Texans","Houston Texans","http://content.sportslogos.net/logos/7/157/thumbs/570.gif"
"143","Huddersfield Town","epl","#0073d2",NA,NA,NA,NA,"Huddersfield","Town","Huddersfield Town",NA
"144","Idaho State Bengals","ncaa","#000000","#F9A81A",NA,NA,"Big Sky","Idaho State","Bengals","Idaho State Bengals","http://content.sportslogos.net/logos/32/705/thumbs/70511631997.gif"
"145","Idaho Vandals","ncaa","#EAAB00","#86754D","#808080","#000000","Big Sky","Idaho","Vandals","Idaho Vandals","http://content.sportslogos.net/logos/32/704/thumbs/70458472004.gif"
"146","Illinois","ncaa","#13294B","#E84A27",NA,NA,"Big 10","Illinois",NA,"Illinois Fighting Illini","http://content.sportslogos.net/logos/32/706/thumbs/70683592014.gif"
"147","Illinois State Redbirds","ncaa","#CE1126","#F9DD16","#000000",NA,"MVC","Illinois State","Redbirds","Illinois State Redbirds","http://content.sportslogos.net/logos/32/707/thumbs/5l5bieqet3144zaiwte9.gif"
"148","Indiana Fever","wnba","#C8102E","#041E42","#FFCD00",NA,"Eastern","Indiana","Fever","Indiana Fever","http://content.sportslogos.net/logos/16/315/thumbs/69jyheiaiebbm0t5mp3v4xpzl.gif"
"149","Indiana Hoosiers","ncaa","#990000","#EEEDEB",NA,NA,"Big 10","Indiana","Hoosiers","Indiana Hoosiers","http://content.sportslogos.net/logos/32/709/thumbs/70922132002.gif"
"150","Indiana Pacers","nba","#ffc633","#00275d","#bec0c2",NA,"Central","Indiana","Pacers","Indiana Pacers","http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif"
